Race,Year,Household Income by Race,Household Income by Race Moe,County,State
White,2018,53635,3895.0,Jefferson County, NY
White,2018,78927,2905.0,Kings County, NY
White,2018,62187,5794.0,Livingston County, NY
White,2018,59300,3961.0000000000014,Madison County, NY
White,2018,66667,1909.0,Monroe County, NY
White,2018,120728,2774.0,Nassau County, NY
White,2018,115829,4951.0,New York County, NY
White,2018,57110,3479.9999999999995,Niagara County, NY
White,2018,57434,2483.0,Oneida County, NY
White,2018,66754,2319.0,Onondaga County, NY
White,2018,63546,3568.0,Ontario County, NY
White,2018,79372,3794.0000000000014,Orange County, NY
White,2018,54113,3692.0,Oswego County, NY
White,2018,103935,8559.0,Putnam County, NY
White,2018,74389,2516.0,Queens County, NY
White,2018,74511,3107.0,Rensselaer County, NY
White,2018,86168,6546.0,Richmond County, NY
White,2018,90304,4726.0,Rockland County, NY
White,2018,49532,3183.0,St. Lawrence County, NY
White,2018,82149,3909.0,Saratoga County, NY
White,2018,71042,6035.0,Schenectady County, NY
White,2018,55546,2899.0,Steuben County, NY
White,2018,102475,2513.0,Suffolk County, NY
White,2018,57007,8404.0,Sullivan County, NY
White,2018,63674,4486.0,Tompkins County, NY
White,2018,67086,5141.0,Ulster County, NY
White,2018,56001,2958.0,Warren County, NY
White,2018,62036,3782.0,Wayne County, NY
White,2018,110786,3252.0,Westchester County, NY
Black,2018,34160,4812.0,Albany County, NY
Black,2018,40575,2078.0,Bronx County, NY
Black,2018,37958,14744.0,Broome County, NY
Black,2018,27083,23695.0,Cayuga County, NY
Black,2018,28084,27078.0,Chemung County, NY
Black,2018,32360,17347.0,Clinton County, NY
Black,2018,53901,28231.0,Dutchess County, NY
Black,2018,33728,3133.0,Erie County, NY
Black,2018,50505,13556.999999999998,Jefferson County, NY
Black,2018,47515,2426.0,Kings County, NY
Black,2018,66033,32470.0,Livingston County, NY
Black,2018,31796,3201.0,Monroe County, NY
Black,2018,109705,8041.999999999999,Nassau County, NY
Black,2018,39639,4184.0,New York County, NY
Black,2018,26718,10848.0,Niagara County, NY
Black,2018,28534,10568.0,Oneida County, NY
Black,2018,32506,3141.0,Onondaga County, NY
Black,2018,61396,23378.0,Ontario County, NY
Black,2018,65093,10145.0,Orange County, NY
Black,2018,156431,91255.0,Putnam County, NY
Black,2018,68205,4122.0,Queens County, NY
Black,2018,45828,7450.999999999999,Rensselaer County, NY
Black,2018,56859,11732.0,Richmond County, NY
Black,2018,83668,10271.0,Rockland County, NY
Black,2018,88566,52101.0,St. Lawrence County, NY
Black,2018,123275,80280.0,Saratoga County, NY
Black,2018,38483,13694.0,Schenectady County, NY
Black,2018,77970,7530.999999999999,Suffolk County, NY
Black,2018,27308,25302.0,Sullivan County, NY
Black,2018,41024,25297.0,Tompkins County, NY
Black,2018,40970,26664.0,Ulster County, NY
Black,2018,60653,9116.0,Westchester County, NY
Native American,2018,58418,51149.0,Albany County, NY
Native American,2018,19079,10920.0,Bronx County, NY
Native American,2018,40739,9986.0,Cattaraugus County, NY
Native American,2018,16273,9449.0,Erie County, NY
Native American,2018,55395,7079.999999999999,Kings County, NY
Native American,2018,30125,18370.0,Monroe County, NY
Native American,2018,110151,80498.0,Nassau County, NY
Native American,2018,35487,20755.0,New York County, NY
Native American,2018,38578,38169.0,Niagara County, NY
Native American,2018,37966,22749.0,Onondaga County, NY
Native American,2018,58221,50790.0,Orange County, NY
Native American,2018,52978,36415.0,Queens County, NY
Native American,2018,61597,49307.0,Schenectady County, NY
Native American,2018,36563,25647.0,Steuben County, NY
Native American,2018,98732,40049.0,Suffolk County, NY
Asian,2018,102936,31507.000000000004,Albany County, NY
Asian,2018,56597,9291.0,Bronx County, NY
Asian,2018,96075,86396.0,Cattaraugus County, NY
Asian,2018,100847,28607.000000000004,Cayuga County, NY
Asian,2018,113044,79154.0,Chemung County, NY
Asian,2018,55671,24696.0,Clinton County, NY
Asian,2018,148832,27388.0,Dutchess County, NY
Asian,2018,52083,8227.0,Erie County, NY
Asian,2018,68714,4492.0,Kings County, NY
Asian,2018,112423,74251.0,Madison County, NY
Asian,2018,70431,18464.0,Monroe County, NY
Asian,2018,135834,8025.0,Nassau County, NY
Asian,2018,82107,9783.0,New York County, NY
Asian,2018,77865,54948.0,Niagara County, NY
Asian,2018,54186,15787.0,Oneida County, NY
Asian,2018,52125,11408.0,Onondaga County, NY
Asian,2018,101339,55259.0,Orange County, NY
Asian,2018,59154,48663.0,Oswego County, NY
Asian,2018,96371,84682.0,Putnam County, NY
Asian,2018,65665,2451.0,Queens County, NY
Asian,2018,70670,26421.0,Rensselaer County, NY
Asian,2018,90358,12338.0,Richmond County, NY
Asian,2018,117572,6837.0,Rockland County, NY
Asian,2018,104526,45033.0,Saratoga County, NY
Asian,2018,66533,30089.0,Schenectady County, NY
Asian,2018,46761,46868.0,Steuben County, NY
Asian,2018,103739,7515.0,Suffolk County, NY
Asian,2018,97061,78561.0,Sullivan County, NY
Asian,2018,36451,17144.0,Tompkins County, NY
Asian,2018,53236,23949.0,Ulster County, NY
Asian,2018,76589,40339.0,Wayne County, NY
Asian,2018,126519,12244.0,Westchester County, NY
Pacific Islander,2018,21294,18916.0,Kings County, NY
Other,2018,48810,8743.0,Albany County, NY
Other,2018,32853,1674.0,Bronx County, NY
Other,2018,54200,53872.0,Broome County, NY
Other,2018,32343,6217.0,Cattaraugus County, NY
Other,2018,30367,30377.0,Cayuga County, NY
Other,2018,23796,1642.0,Chautauqua County, NY
Other,2018,18606,6869.0,Chemung County, NY
Other,2018,51266,28387.000000000004,Dutchess County, NY
Other,2018,20769,4398.0,Erie County, NY
Other,2018,52443,4425.0,Jefferson County, NY
Other,2018,39528,5499.0,Kings County, NY
Other,2018,35489,33241.0,Livingston County, NY
Other,2018,32258,12064.0,Monroe County, NY
Other,2018,67484,15458.0,Nassau County, NY
Other,2018,31206,5798.0,New York County, NY
Other,2018,31535,15732.0,Oneida County, NY
Other,2018,50487,18199.0,Orange County, NY
Other,2018,76419,31861.0,Putnam County, NY
Other,2018,60374,2763.0,Queens County, NY
Other,2018,35962,23187.0,Rensselaer County, NY
Other,2018,81993,37846.0,Richmond County, NY
Other,2018,59666,6769.0,Rockland County, NY
Other,2018,93681,74931.0,Saratoga County, NY
Other,2018,73263,59263.0,Schenectady County, NY
Other,2018,76228,4125.0,Suffolk County, NY
Other,2018,45200,31154.0,Ulster County, NY
Other,2018,35566,14372.0,Wayne County, NY
Other,2018,59770,6837.999999999999,Westchester County, NY
Two Or More,2018,36269,2628.0,Albany County, NY
Two Or More,2018,41816,13669.0,Bronx County, NY
Two Or More,2018,40075,39496.0,Broome County, NY
Two Or More,2018,36424,33633.0,Cattaraugus County, NY
Two Or More,2018,66445,37521.0,Cayuga County, NY
Two Or More,2018,65712,29616.0,Clinton County, NY
Two Or More,2018,70190,46423.0,Dutchess County, NY
Two Or More,2018,41006,11333.0,Erie County, NY
Two Or More,2018,56124,30464.0,Jefferson County, NY
Two Or More,2018,59342,7038.0,Kings County, NY
Two Or More,2018,40763,26236.0,Monroe County, NY
Two Or More,2018,74241,31788.0,Nassau County, NY
Two Or More,2018,58540,7757.999999999999,New York County, NY
Two Or More,2018,51844,9637.0,Oneida County, NY
Two Or More,2018,55956,18814.0,Onondaga County, NY
Two Or More,2018,250001,,Ontario County, NY
Two Or More,2018,67453,20022.0,Orange County, NY
Two Or More,2018,62903,41186.0,Oswego County, NY
Two Or More,2018,116875,68937.0,Putnam County, NY
Two Or More,2018,76516,8081.999999999999,Queens County, NY
Two Or More,2018,41468,41057.0,Rensselaer County, NY
Two Or More,2018,74226,72393.0,Richmond County, NY
Two Or More,2018,55602,49921.0,Rockland County, NY
