ID Race,Race,ID Year,Year,Household Income by Race,Household Income by Race Moe,Geography,ID Geography,Slug Geography
7,"Two Or More",2019,"2019",30060,29838,"Madison County, NY","05000US36053","madison-county-ny"
7,"Two Or More",2019,"2019",50539,21744,"Monroe County, NY","05000US36055","monroe-county-ny"
7,"Two Or More",2019,"2019",113699,12647,"Nassau County, NY","05000US36059","nassau-county-ny"
7,"Two Or More",2019,"2019",71171,14366,"New York County, NY","05000US36061","new-york-county-ny"
7,"Two Or More",2019,"2019",46883,23586,"Niagara County, NY","05000US36063","niagara-county-ny"
7,"Two Or More",2019,"2019",37220,10947,"Oneida County, NY","05000US36065","oneida-county-ny"
7,"Two Or More",2019,"2019",40944,14622.999999999998,"Onondaga County, NY","05000US36067","onondaga-county-ny"
7,"Two Or More",2019,"2019",90059,27461.999999999996,"Orange County, NY","05000US36071","orange-county-ny"
7,"Two Or More",2019,"2019",79298,8419,"Queens County, NY","05000US36081","queens-county-ny"
7,"Two Or More",2019,"2019",103447,21629,"Richmond County, NY","05000US36085","richmond-county-ny"
7,"Two Or More",2019,"2019",113384,37108,"Rockland County, NY","05000US36087","rockland-county-ny"
7,"Two Or More",2019,"2019",49461,26584,"St. Lawrence County, NY","05000US36089","st-lawrence-county-ny"
7,"Two Or More",2019,"2019",96142,19780,"Saratoga County, NY","05000US36091","saratoga-county-ny"
7,"Two Or More",2019,"2019",20203,18562,"Schenectady County, NY","05000US36093","schenectady-county-ny"
7,"Two Or More",2019,"2019",104315,27495,"Suffolk County, NY","05000US36103","suffolk-county-ny"
7,"Two Or More",2019,"2019",63417,52491,"Tompkins County, NY","05000US36109","tompkins-county-ny"
7,"Two Or More",2019,"2019",86512,44055,"Ulster County, NY","05000US36111","ulster-county-ny"
7,"Two Or More",2019,"2019",103595,41436,"Westchester County, NY","05000US36119","westchester-county-ny"
8,"White Non-Hispanic",2019,"2019",77026,5464,"Albany County, NY","05000US36001","albany-county-ny"
8,"White Non-Hispanic",2019,"2019",65994,5322,"Bronx County, NY","05000US36005","bronx-county-ny"
8,"White Non-Hispanic",2019,"2019",56356,4859,"Broome County, NY","05000US36007","broome-county-ny"
8,"White Non-Hispanic",2019,"2019",52154,2805,"Cattaraugus County, NY","05000US36009","cattaraugus-county-ny"
8,"White Non-Hispanic",2019,"2019",60480,4190,"Cayuga County, NY","05000US36011","cayuga-county-ny"
8,"White Non-Hispanic",2019,"2019",51558,3010,"Chautauqua County, NY","05000US36013","chautauqua-county-ny"
8,"White Non-Hispanic",2019,"2019",61254,4862,"Chemung County, NY","05000US36015","chemung-county-ny"
8,"White Non-Hispanic",2019,"2019",59880,5432,"Clinton County, NY","05000US36019","clinton-county-ny"
8,"White Non-Hispanic",2019,"2019",88244,4807,"Dutchess County, NY","05000US36027","dutchess-county-ny"
8,"White Non-Hispanic",2019,"2019",66999,2045,"Erie County, NY","05000US36029","erie-county-ny"
8,"White Non-Hispanic",2019,"2019",54826,3643.0000000000005,"Jefferson County, NY","05000US36045","jefferson-county-ny"
8,"White Non-Hispanic",2019,"2019",90577,1774.9999999999998,"Kings County, NY","05000US36047","kings-county-ny"
8,"White Non-Hispanic",2019,"2019",60091,4102,"Livingston County, NY","05000US36051","livingston-county-ny"
8,"White Non-Hispanic",2019,"2019",63839,6905.000000000001,"Madison County, NY","05000US36053","madison-county-ny"
8,"White Non-Hispanic",2019,"2019",71212,1959.9999999999998,"Monroe County, NY","05000US36055","monroe-county-ny"
8,"White Non-Hispanic",2019,"2019",127041,3603,"Nassau County, NY","05000US36059","nassau-county-ny"
8,"White Non-Hispanic",2019,"2019",132362,6957.000000000001,"New York County, NY","05000US36061","new-york-county-ny"
8,"White Non-Hispanic",2019,"2019",60071,3916.0000000000005,"Niagara County, NY","05000US36063","niagara-county-ny"
8,"White Non-Hispanic",2019,"2019",61972,3445.0000000000005,"Oneida County, NY","05000US36065","oneida-county-ny"
8,"White Non-Hispanic",2019,"2019",67655,2877,"Onondaga County, NY","05000US36067","onondaga-county-ny"
8,"White Non-Hispanic",2019,"2019",68005,5424,"Ontario County, NY","05000US36069","ontario-county-ny"
8,"White Non-Hispanic",2019,"2019",86232,6055,"Orange County, NY","05000US36071","orange-county-ny"
8,"White Non-Hispanic",2019,"2019",59203,4708,"Oswego County, NY","05000US36075","oswego-county-ny"
8,"White Non-Hispanic",2019,"2019",106705,6777,"Putnam County, NY","05000US36079","putnam-county-ny"
8,"White Non-Hispanic",2019,"2019",83541,3258,"Queens County, NY","05000US36081","queens-county-ny"
8,"White Non-Hispanic",2019,"2019",75282,4826,"Rensselaer County, NY","05000US36083","rensselaer-county-ny"
8,"White Non-Hispanic",2019,"2019",104240,3605.9999999999995,"Richmond County, NY","05000US36085","richmond-county-ny"
8,"White Non-Hispanic",2019,"2019",101546,3461,"Rockland County, NY","05000US36087","rockland-county-ny"
8,"White Non-Hispanic",2019,"2019",52460,5843,"St. Lawrence County, NY","05000US36089","st-lawrence-county-ny"
