COUNTY_ID,COUNTY_NAME,STATE,POPULATION,DATE
075,Cook County, Georgia,17167,2016-07-01
077,Coweta County, Georgia,140526,2016-07-01
079,Crawford County, Georgia,12322,2016-07-01
081,Crisp County, Georgia,22721,2016-07-01
083,Dade County, Georgia,16257,2016-07-01
085,Dawson County, Georgia,23604,2016-07-01
087,Decatur County, Georgia,26822,2016-07-01
089,DeKalb County, Georgia,740321,2016-07-01
091,Dodge County, Georgia,20563,2016-07-01
093,Dooly County, Georgia,13763,2016-07-01
095,Dougherty County, Georgia,90017,2016-07-01
097,Douglas County, Georgia,142224,2016-07-01
099,Early County, Georgia,10339,2016-07-01
101,Echols County, Georgia,3962,2016-07-01
103,Effingham County, Georgia,58712,2016-07-01
105,Elbert County, Georgia,19143,2016-07-01
107,Emanuel County, Georgia,22635,2016-07-01
109,Evans County, Georgia,10670,2016-07-01
131,Walton County, Florida,65889,2016-07-01
133,Washington County, Florida,24569,2016-07-01
001,Appling County, Georgia,18428,2016-07-01
003,Atkinson County, Georgia,8273,2016-07-01
005,Bacon County, Georgia,11372,2016-07-01
007,Baker County, Georgia,3150,2016-07-01
009,Baldwin County, Georgia,45144,2016-07-01
011,Banks County, Georgia,18397,2016-07-01
013,Barrow County, Georgia,77126,2016-07-01
015,Bartow County, Georgia,103807,2016-07-01
017,Ben Hill County, Georgia,17243,2016-07-01
019,Berrien County, Georgia,18993,2016-07-01
021,Bibb County, Georgia,152760,2016-07-01
023,Bleckley County, Georgia,12970,2016-07-01
025,Brantley County, Georgia,18355,2016-07-01
027,Brooks County, Georgia,15687,2016-07-01
029,Bryan County, Georgia,36230,2016-07-01
031,Bulloch County, Georgia,74722,2016-07-01
033,Burke County, Georgia,22688,2016-07-01
035,Butts County, Georgia,23817,2016-07-01
037,Calhoun County, Georgia,6324,2016-07-01
039,Camden County, Georgia,53008,2016-07-01
043,Candler County, Georgia,10910,2016-07-01
045,Carroll County, Georgia,116261,2016-07-01
047,Catoosa County, Georgia,66398,2016-07-01
049,Charlton County, Georgia,12497,2016-07-01
051,Chatham County, Georgia,289082,2016-07-01
053,Chattahoochee County, Georgia,10922,2016-07-01
193,Macon County, Georgia,13450,2016-07-01
195,Madison County, Georgia,28824,2016-07-01
197,Marion County, Georgia,8524,2016-07-01
199,Meriwether County, Georgia,21074,2016-07-01
201,Miller County, Georgia,5926,2016-07-01
205,Mitchell County, Georgia,22459,2016-07-01
207,Monroe County, Georgia,27306,2016-07-01
111,Fannin County, Georgia,24900,2016-07-01
113,Fayette County, Georgia,111627,2016-07-01
115,Floyd County, Georgia,96560,2016-07-01
117,Forsyth County, Georgia,221009,2016-07-01
119,Franklin County, Georgia,22320,2016-07-01
121,Fulton County, Georgia,1023336,2016-07-01
123,Gilmer County, Georgia,29733,2016-07-01
125,Glascock County, Georgia,3006,2016-07-01
127,Glynn County, Georgia,84502,2016-07-01
129,Gordon County, Georgia,56904,2016-07-01
131,Grady County, Georgia,24808,2016-07-01
133,Greene County, Georgia,17003,2016-07-01
135,Gwinnett County, Georgia,907135,2016-07-01
137,Habersham County, Georgia,44246,2016-07-01
139,Hall County, Georgia,196637,2016-07-01
141,Hancock County, Georgia,8640,2016-07-01
143,Haralson County, Georgia,29042,2016-07-01
145,Harris County, Georgia,33652,2016-07-01
147,Hart County, Georgia,25553,2016-07-01
149,Heard County, Georgia,11487,2016-07-01
151,Henry County, Georgia,221768,2016-07-01
153,Houston County, Georgia,152122,2016-07-01
155,Irwin County, Georgia,9422,2016-07-01
157,Jackson County, Georgia,64615,2016-07-01
159,Jasper County, Georgia,13654,2016-07-01
161,Jeff Davis County, Georgia,14877,2016-07-01
163,Jefferson County, Georgia,15916,2016-07-01
165,Jenkins County, Georgia,8849,2016-07-01
167,Johnson County, Georgia,9505,2016-07-01
169,Jones County, Georgia,28623,2016-07-01
171,Lamar County, Georgia,18469,2016-07-01
173,Lanier County, Georgia,10399,2016-07-01
175,Laurens County, Georgia,47516,2016-07-01
177,Lee County, Georgia,29337,2016-07-01
179,Liberty County, Georgia,62570,2016-07-01
181,Lincoln County, Georgia,7828,2016-07-01
183,Long County, Georgia,18437,2016-07-01
185,Lowndes County, Georgia,114628,2016-07-01
187,Lumpkin County, Georgia,31445,2016-07-01
189,McDuffie County, Georgia,21490,2016-07-01
191,McIntosh County, Georgia,13927,2016-07-01
265,Taliaferro County, Georgia,1593,2016-07-01
267,Tattnall County, Georgia,25092,2016-07-01
269,Taylor County, Georgia,8232,2016-07-01
271,Telfair County, Georgia,15965,2016-07-01
273,Terrell County, Georgia,8967,2016-07-01
275,Thomas County, Georgia,45248,2016-07-01
277,Tift County, Georgia,40828,2016-07-01
279,Toombs County, Georgia,27196,2016-07-01
281,Towns County, Georgia,11391,2016-07-01
283,Treutlen County, Georgia,6637,2016-07-01
285,Troup County, Georgia,70005,2016-07-01
287,Turner County, Georgia,8030,2016-07-01
289,Twiggs County, Georgia,8171,2016-07-01
291,Union County, Georgia,22928,2016-07-01
293,Upson County, Georgia,26335,2016-07-01
295,Walker County, Georgia,67896,2016-07-01
297,Walton County, Georgia,90184,2016-07-01
299,Ware County, Georgia,35738,2016-07-01
301,Warren County, Georgia,5442,2016-07-01
303,Washington County, Georgia,20457,2016-07-01
305,Wayne County, Georgia,30104,2016-07-01
307,Webster County, Georgia,2599,2016-07-01
309,Wheeler County, Georgia,7978,2016-07-01
311,White County, Georgia,28884,2016-07-01
313,Whitfield County, Georgia,104589,2016-07-01
315,Wilcox County, Georgia,8761,2016-07-01
317,Wilkes County, Georgia,9805,2016-07-01
319,Wilkinson County, Georgia,9104,2016-07-01
209,Montgomery County, Georgia,9060,2016-07-01
211,Morgan County, Georgia,18170,2016-07-01
213,Murray County, Georgia,39315,2016-07-01
215,Muscogee County, Georgia,197485,2016-07-01
217,Newton County, Georgia,106999,2016-07-01
219,Oconee County, Georgia,36838,2016-07-01
221,Oglethorpe County, Georgia,14921,2016-07-01
223,Paulding County, Georgia,155825,2016-07-01
225,Peach County, Georgia,26655,2016-07-01
227,Pickens County, Georgia,30832,2016-07-01
229,Pierce County, Georgia,19171,2016-07-01
231,Pike County, Georgia,17941,2016-07-01
233,Polk County, Georgia,41776,2016-07-01
235,Pulaski County, Georgia,11251,2016-07-01
237,Putnam County, Georgia,21477,2016-07-01
239,Quitman County, Georgia,2335,2016-07-01
241,Rabun County, Georgia,16559,2016-07-01
243,Randolph County, Georgia,7177,2016-07-01
245,Richmond County, Georgia,201647,2016-07-01
247,Rockdale County, Georgia,89355,2016-07-01
249,Schley County, Georgia,5098,2016-07-01
251,Screven County, Georgia,14044,2016-07-01
253,Seminole County, Georgia,8468,2016-07-01
255,Spalding County, Georgia,64806,2016-07-01
257,Stephens County, Georgia,25751,2016-07-01
259,Stewart County, Georgia,5705,2016-07-01
261,Sumter County, Georgia,30389,2016-07-01
263,Talbot County, Georgia,6171,2016-07-01
075,Payette County, Idaho,23026,2016-07-01
077,Power County, Idaho,7654,2016-07-01
079,Shoshone County, Idaho,12452,2016-07-01
081,Teton County, Idaho,10960,2016-07-01
083,Twin Falls County, Idaho,83514,2016-07-01
085,Valley County, Idaho,10496,2016-07-01
087,Washington County, Idaho,10172,2016-07-01
321,Worth County, Georgia,20748,2016-07-01
001,Hawaii County, Hawaii,198449,2016-07-01
003,Honolulu County, Hawaii,992605,2016-07-01
005,Kalawao County, Hawaii,88,2016-07-01
007,Kauai County, Hawaii,72029,2016-07-01
009,Maui County, Hawaii,165386,2016-07-01
001,Ada County, Idaho,444028,2016-07-01
003,Adams County, Idaho,3900,2016-07-01
005,Bannock County, Idaho,84377,2016-07-01
007,Bear Lake County, Idaho,5945,2016-07-01
009,Benewah County, Idaho,9092,2016-07-01
011,Bingham County, Idaho,45201,2016-07-01
013,Blaine County, Idaho,21791,2016-07-01
015,Boise County, Idaho,7124,2016-07-01
017,Bonner County, Idaho,42536,2016-07-01
019,Bonneville County, Idaho,112232,2016-07-01
021,Boundary County, Idaho,11681,2016-07-01
023,Butte County, Idaho,2501,2016-07-01
025,Camas County, Idaho,1072,2016-07-01
027,Canyon County, Idaho,211698,2016-07-01
029,Caribou County, Idaho,6887,2016-07-01
031,Cassia County, Idaho,23504,2016-07-01
033,Clark County, Idaho,860,2016-07-01
035,Clearwater County, Idaho,8497,2016-07-01
037,Custer County, Idaho,4096,2016-07-01
039,Elmore County, Idaho,26018,2016-07-01
041,Franklin County, Idaho,13406,2016-07-01
043,Fremont County, Idaho,12943,2016-07-01
045,Gem County, Idaho,17184,2016-07-01
047,Gooding County, Idaho,15185,2016-07-01
049,Idaho County, Idaho,16156,2016-07-01
051,Jefferson County, Idaho,27839,2016-07-01
053,Jerome County, Idaho,22994,2016-07-01
055,Kootenai County, Idaho,154311,2016-07-01
057,Latah County, Idaho,39196,2016-07-01
059,Lemhi County, Idaho,7723,2016-07-01
061,Lewis County, Idaho,3853,2016-07-01
063,Lincoln County, Idaho,5271,2016-07-01
065,Madison County, Idaho,39048,2016-07-01
067,Minidoka County, Idaho,20616,2016-07-01
069,Nez Perce County, Idaho,40369,2016-07-01
071,Oneida County, Idaho,4343,2016-07-01
073,Owyhee County, Idaho,11389,2016-07-01
055,Franklin County, Illinois,39156,2016-07-01
057,Fulton County, Illinois,35536,2016-07-01
059,Gallatin County, Illinois,5212,2016-07-01
061,Greene County, Illinois,13093,2016-07-01
