COUNTY,STATE,POPULATION,DATE
Logan County, Illinois,29527,2016-07-01
McDonough County, Illinois,30996,2016-07-01
Adams County, Illinois,66578,2016-07-01
Alexander County, Illinois,6478,2016-07-01
Bond County, Illinois,16824,2016-07-01
Boone County, Illinois,53503,2016-07-01
Brown County, Illinois,6762,2016-07-01
Bureau County, Illinois,33359,2016-07-01
Calhoun County, Illinois,4894,2016-07-01
Carroll County, Illinois,14539,2016-07-01
Cass County, Illinois,12676,2016-07-01
Champaign County, Illinois,208419,2016-07-01
Christian County, Illinois,33309,2016-07-01
Clark County, Illinois,15938,2016-07-01
Clay County, Illinois,13300,2016-07-01
Clinton County, Illinois,37729,2016-07-01
Coles County, Illinois,52343,2016-07-01
Cook County, Illinois,5203499,2016-07-01
Crawford County, Illinois,19308,2016-07-01
Cumberland County, Illinois,10858,2016-07-01
DeKalb County, Illinois,104528,2016-07-01
De Witt County, Illinois,16226,2016-07-01
Douglas County, Illinois,19630,2016-07-01
DuPage County, Illinois,929368,2016-07-01
Edgar County, Illinois,17566,2016-07-01
Edwards County, Illinois,6523,2016-07-01
Effingham County, Illinois,34386,2016-07-01
Fayette County, Illinois,21789,2016-07-01
Ford County, Illinois,13575,2016-07-01
White County, Illinois,14292,2016-07-01
Whiteside County, Illinois,56536,2016-07-01
Will County, Illinois,689529,2016-07-01
Williamson County, Illinois,67560,2016-07-01
Winnebago County, Illinois,285873,2016-07-01
Woodford County, Illinois,39140,2016-07-01
Adams County, Indiana,35232,2016-07-01
McHenry County, Illinois,307004,2016-07-01
McLean County, Illinois,172418,2016-07-01
